pitcher,player_name,pitch_type,game_year,woba_num,woba_denom,wOBAA,xwOBAA,BB,HBP,singles,doubles,triples,HR,K
543272,"Hand, Brad",ST,2023,34.9085,100,0.3491,0.2879,7,4,11,6,2,3,34
543294,"Hendricks, Kyle",CH,2022,31.594,112,0.2821,0.251,7,0,14,6,0,3,35
543294,"Hendricks, Kyle",CH,2023,52.0799,228,0.2284,0.2376,11,0,26,7,0,6,54
543294,"Hendricks, Kyle",CH,2024,59.6863,185,0.3226,0.3135,11,0,41,3,0,6,23
543294,"Hendricks, Kyle",CH,2025,59.9479,227,0.2641,0.2734,9,0,32,7,2,6,36
543294,"Hendricks, Kyle",FF,2022,35.3226,66,0.5352,0.4571,6,0,6,3,0,9,11
543294,"Hendricks, Kyle",FF,2023,33.1907,61,0.5441,0.4937,5,0,10,9,0,4,9
543294,"Hendricks, Kyle",FF,2025,25.7031,76,0.3382,0.3027,13,0,5,3,0,4,19
543294,"Hendricks, Kyle",SI,2022,33.8331,96,0.3524,0.401,8,3,17,5,2,1,8
543294,"Hendricks, Kyle",SI,2023,47.4508,141,0.3365,0.34,2,3,26,10,1,3,9
543294,"Hendricks, Kyle",SI,2024,51.9092,142,0.3656,0.3798,10,1,33,4,0,5,16
543294,"Hendricks, Kyle",SI,2025,81.1663,220,0.3689,0.3288,14,5,39,13,0,8,28
543339,"Hudson, Daniel",FF,2024,27.8749,82,0.3399,0.3542,8,0,11,3,0,4,17
543339,"Hudson, Daniel",SL,2024,13.2714,79,0.168,0.203,6,1,5,0,0,2,31
543475,"Lyles, Jordan",CU,2022,13.0982,71,0.1845,0.2624,2,0,8,2,0,1,21
543475,"Lyles, Jordan",FF,2022,61.0657,168,0.3635,0.4242,19,0,20,10,1,7,22
543475,"Lyles, Jordan",FF,2023,58.5191,195,0.3001,0.3196,17,2,17,11,2,6,27
543475,"Lyles, Jordan",SI,2022,47.4584,118,0.4022,0.3442,6,4,20,7,0,6,27
543475,"Lyles, Jordan",SI,2023,37.1178,91,0.4079,0.3933,11,2,14,6,0,4,14
543475,"Lyles, Jordan",ST,2022,33.5346,134,0.2503,0.2698,8,0,19,4,0,3,31
543475,"Lyles, Jordan",ST,2023,58.3155,148,0.394,0.3139,5,1,17,12,0,10,24
543518,"McGough, Scott",FF,2023,28.9124,90,0.3212,0.3309,12,2,10,2,0,4,23
543518,"McGough, Scott",FF,2024,30.7184,60,0.512,0.487,13,0,8,4,2,3,8
543518,"McGough, Scott",FS,2023,34.8963,103,0.3388,0.2995,9,0,8,8,0,5,31
543521,"McHugh, Collin",FC,2022,22.1352,85,0.2604,0.337,3,2,17,0,0,2,13
543521,"McHugh, Collin",FC,2023,31.4379,89,0.3532,0.3552,9,1,21,6,0,0,8
543521,"McHugh, Collin",ST,2022,23.7496,97,0.2448,0.2518,9,2,8,4,0,2,33
543521,"McHugh, Collin",ST,2023,34.6431,116,0.2986,0.3115,9,1,21,3,0,3,29
543606,"Odorizzi, Jake",FC,2022,27.1415,87,0.312,0.2964,3,1,11,4,0,4,20
543606,"Odorizzi, Jake",FF,2022,66.0686,191,0.3459,0.3538,19,1,32,6,1,7,36
543606,"Odorizzi, Jake",FS,2022,21.7206,75,0.2896,0.2492,4,0,17,2,0,1,17
543766,"Shaw, Bryan",FC,2022,62.0547,167,0.3716,0.3379,22,1,30,8,0,5,30
